country,full_name,club,position,matches,goals
Италия,Christopher Holmes,Интер,нападающий,115,22
Россия,Gabriel Decker,Локомотив,полузащитник,53,28
Италия,Janet Burnett,Милан,полузащитник,1,20
Нидерланды,Lawrence Munoz,Фейеноорд,полузащитник,71,28
Бразилия,Matthew Hardy,Сантос,нападающий,66,11
Испания,Brianna Hill,Барселона,полузащитник,91,16
Италия,Kim Perez,Интер,вратарь,23,-34
Португалия,Dawn Allen,Бенфика,защитник,20,3
Германия,Amber Juarez,Боруссия Дортмунд,полузащитник,10,8
Франция,Mark Roberts,ПСЖ,полузащитник,18,21
Аргентина,William Schneider,Бока Хуниорс,защитник,39,5
Германия,Hannah Ortiz,Боруссия Дортмунд,полузащитник,106,14
Англия,Emily Robinson,Ливерпуль,нападающий,99,48
Германия,Ronald Kelly,РБ Лейпциг,нападающий,138,29
Англия,Lisa Blair,Ливерпуль,защитник,8,12
Россия,Natasha Pena,Зенит,защитник,26,11
Франция,Audrey Morales,Лион,полузащитник,29,8
Бразилия,Joshua Davis,Фламенго,полузащитник,20,5
Германия,Rebecca Schroeder,Бавария,защитник,67,9
Португалия,Christopher Davidson,Бенфика,нападающий,78,23
Португалия,Ashley Gibson,Бенфика,полузащитник,110,9
Англия,Leslie Williams,Челси,защитник,85,15
Португалия,Alexandra Jones,Порту,защитник,21,12
Германия,Lisa Gomez,Боруссия Дортмунд,вратарь,100,-44
Германия,Ashley Franklin,РБ Лейпциг,защитник,53,1
Аргентина,Jennifer Ward,Бока Хуниорс,нападающий,64,36
Франция,Theresa Chan,Лион,защитник,100,6
Россия,Rachel Jones,Зенит,нападающий,14,29
Португалия,Amanda Peterson,Бенфика,полузащитник,137,27
Аргентина,Judy Webb,Ривер Плейт,защитник,134,0
Франция,Diana Kennedy,ПСЖ,вратарь,119,-33
Нидерланды,Robert Novak,Фейеноорд,защитник,90,9
Италия,Elizabeth Warren,Ювентус,полузащитник,27,13
Германия,Charles Wall,РБ Лейпциг,полузащитник,97,15
Франция,Sherry Hooper,ПСЖ,вратарь,29,-11
Франция,Linda Watts,ПСЖ,вратарь,9,-23
Россия,Frank Smith,Краснодар,полузащитник,93,18
Бразилия,William Berg,Коринтианс,нападающий,136,46
Франция,Matthew Johnson,Лион,полузащитник,144,13
Нидерланды,Ashley Reyes,ПСВ,нападающий,140,11
Италия,Craig Kennedy,Интер,вратарь,16,-40
Испания,Tyrone Martin,Реал Мадрид,полузащитник,96,7
Франция,Scott Glass,Лион,нападающий,90,14
Италия,Cheryl Martinez,Милан,защитник,39,17
Португалия,Seth Wilson,Порту,полузащитник,105,27
Франция,Vanessa Perez,ПСЖ,нападающий,124,13
Бразилия,Brenda Hubbard,Палмейрас,нападающий,45,39
Нидерланды,Joshua Taylor,Фейеноорд,вратарь,75,-17
Бразилия,William Jones,Фламенго,нападающий,78,10
