country,full_name,club,position,matches,goals
Нидерланды,Debra Alvarez,ПСВ,нападающий,16,22
Нидерланды,Steven Frank,ПСВ,вратарь,129,-6
Португалия,David Fletcher,Бенфика,нападающий,92,25
Португалия,Kayla Banks,Порту,нападающий,105,45
Россия,Elizabeth Pratt,Локомотив,полузащитник,40,14
Аргентина,Travis Ross,Бока Хуниорс,защитник,30,15
Португалия,Chase Barrett,Порту,защитник,136,19
Франция,Mary Morgan,ПСЖ,вратарь,30,-25
Португалия,Kenneth Hill,Порту,нападающий,102,11
Аргентина,Zachary Curry,Ривер Плейт,полузащитник,4,22
Аргентина,Daniel Hoffman,Бока Хуниорс,полузащитник,28,20
Бразилия,Wanda Hicks,Сантос,вратарь,35,-37
Аргентина,Joshua Williams DDS,Бока Хуниорс,нападающий,23,49
Италия,James Alvarado,Милан,полузащитник,94,24
Бразилия,Amanda Key,Фламенго,нападающий,34,47
Нидерланды,Joshua Sanchez,Фейеноорд,нападающий,139,41
Германия,Melissa Jones,РБ Лейпциг,нападающий,77,50
Италия,Sherry Bennett,Ювентус,вратарь,13,-2
Франция,Arthur Hall,ПСЖ,защитник,106,3
Бразилия,Rebecca Perkins,Палмейрас,нападающий,44,36
Англия,Kevin Carr,Челси,полузащитник,69,7
Россия,Kayla Case,Локомотив,нападающий,4,42
Англия,Nicole Adams,Челси,нападающий,83,45
Испания,Jack Allen,Атлетико Мадрид,защитник,12,9
Бразилия,Michael Rollins,Коринтианс,защитник,115,12
Бразилия,Douglas Pittman,Коринтианс,вратарь,114,-17
Аргентина,Erica Johnson,Бока Хуниорс,полузащитник,122,23
Франция,Shannon Carter,ПСЖ,защитник,71,6
Россия,Patricia Cooper,Локомотив,вратарь,114,-47
Португалия,James Gonzalez,Спортинг,полузащитник,18,9
Аргентина,John Ellis,Бока Хуниорс,полузащитник,123,26
Италия,Teresa Moore,Ювентус,полузащитник,135,13
Бразилия,Matthew Becker,Фламенго,полузащитник,55,26
Аргентина,Gabriella Smith,Бока Хуниорс,полузащитник,136,25
Аргентина,Mrs. Tina Newman MD,Бока Хуниорс,защитник,74,3
Бразилия,David Sanchez,Коринтианс,нападающий,104,29
Бразилия,Joan Lambert,Коринтианс,нападающий,84,12
Нидерланды,Jeremy Sherman,ПСВ,защитник,44,12
Италия,Scott Lopez,Ювентус,нападающий,54,20
Италия,Jose Martin,Милан,нападающий,105,25
Франция,Joel Howell,Лион,нападающий,147,21
Англия,Lorraine Mason DDS,Ливерпуль,защитник,27,8
Италия,Brandon Carroll,Интер,полузащитник,87,25
Испания,Angela James,Атлетико Мадрид,полузащитник,16,24
Аргентина,Gregory Dawson,Бока Хуниорс,полузащитник,18,24
Англия,Emma Walls,Ливерпуль,полузащитник,37,20
Аргентина,Larry Jones,Бока Хуниорс,полузащитник,82,12
Франция,Jean Robinson,Олимпик Марсель,защитник,45,12
Англия,Christopher Gonzalez,Ливерпуль,нападающий,142,47
Германия,Emily Beard,Бавария,полузащитник,48,28
Испания,Crystal Daniel,Барселона,защитник,123,19
Бразилия,Elizabeth Hunt,Коринтианс,защитник,123,16
Нидерланды,Dawn Rosario,Аякс,вратарь,72,-44
Нидерланды,David Bauer,Фейеноорд,нападающий,84,25
Испания,Crystal Hudson,Атлетико Мадрид,полузащитник,67,26
Германия,Karen Ritter,Боруссия Дортмунд,полузащитник,32,28
Нидерланды,Ashley Lynch,Фейеноорд,полузащитник,20,10
Франция,Amber Bennett,ПСЖ,вратарь,92,-3
Нидерланды,Robin Moore,ПСВ,нападающий,108,13
Бразилия,Michael Jones,Фламенго,полузащитник,43,24
Испания,Amanda Davis,Атлетико Мадрид,нападающий,72,32
Нидерланды,Cheryl Nguyen,Фейеноорд,защитник,97,16
Бразилия,Michelle Wallace,Сантос,полузащитник,112,19
Россия,Heather Jacobs,Спартак,защитник,97,18
Германия,Catherine Petty,Боруссия Дортмунд,полузащитник,90,8
Аргентина,Charlene Wright,Бока Хуниорс,полузащитник,6,8
Аргентина,Michelle Castro,Бока Хуниорс,полузащитник,46,5
Россия,Kelly Brock,Спартак,нападающий,50,20
Англия,Catherine Martin,Челси,вратарь,122,-17
Бразилия,Ms. Leslie Baldwin,Палмейрас,полузащитник,124,29
Англия,Vincent David,Челси,нападающий,117,15
Португалия,Danielle Peters,Бенфика,защитник,11,20
Бразилия,Christopher Clark,Фламенго,защитник,94,8
Аргентина,Frank Harvey,Бока Хуниорс,защитник,125,17
Франция,Jenny Brown,Олимпик Марсель,защитник,92,14
