country,full_name,club,position,matches,goals
Россия,Timothy Allen,Краснодар,вратарь,28,-10
Испания,Jeffrey Thornton,Атлетико Мадрид,нападающий,51,23
Нидерланды,Laura Sims,Аякс,полузащитник,80,11
Нидерланды,Nichole Rose,ПСВ,полузащитник,125,9
Италия,Devon Soto,Ювентус,вратарь,102,-7
Португалия,Joshua Carter,Спортинг,нападающий,76,30
Испания,Mark Alvarez,Атлетико Мадрид,защитник,26,7
Германия,Christina Goodwin,Бавария,полузащитник,106,27
Россия,David Brown,Спартак,вратарь,79,-44
Португалия,Daniel Hayes,Спортинг,вратарь,60,-18
Нидерланды,Tyler Phillips,ПСВ,полузащитник,41,13
Аргентина,Erika Stephens,Ривер Плейт,вратарь,30,-22
Италия,Nicole Savage,Ювентус,нападающий,31,50
Бразилия,Ashley Walker,Сантос,полузащитник,36,13
Италия,Lindsey Hernandez,Интер,нападающий,97,23
Франция,Sierra Davila,ПСЖ,защитник,46,2
Франция,Amy Crawford,ПСЖ,защитник,72,4
Португалия,Michelle Nunez,Порту,нападающий,138,20
Германия,Matthew Peterson,РБ Лейпциг,нападающий,25,25
Франция,Tony Zamora,Лион,нападающий,25,25
Бразилия,Stephanie Herrera,Коринтианс,защитник,29,3
Бразилия,Angela Valdez,Коринтианс,защитник,47,8
Германия,Katrina Rose,Бавария,нападающий,93,39
Италия,Christopher Stewart Jr.,Ювентус,вратарь,132,0
Россия,Teresa Cameron,Спартак,вратарь,127,-12
Англия,Kristen Calhoun,Ливерпуль,полузащитник,22,29
Германия,Mr. Joseph Gomez,РБ Лейпциг,вратарь,89,-32
Нидерланды,Jared Smith,Аякс,полузащитник,144,25
Италия,Maria Santos,Милан,нападающий,9,36
Италия,Lisa Obrien,Ювентус,защитник,98,13
Англия,Robert Moore,Ливерпуль,нападающий,125,28
Испания,Penny Wilson,Реал Мадрид,защитник,75,11
Франция,Robert Wheeler,Олимпик Марсель,вратарь,103,-7
Англия,Douglas Taylor,Челси,полузащитник,49,27
Германия,Samantha Wood,РБ Лейпциг,защитник,110,18
Англия,Alexandria Davis,Манчестер Юнайтед,защитник,139,6
Аргентина,Phillip Smith,Бока Хуниорс,нападающий,86,45
Португалия,Stacy Parker,Порту,защитник,129,2
Нидерланды,Justin Powell,Фейеноорд,защитник,137,10
Бразилия,Ethan Petersen,Палмейрас,защитник,67,6
Россия,Joshua Thompson,Зенит,нападающий,131,49
Бразилия,Cory Harvey,Палмейрас,полузащитник,97,14
Нидерланды,Robin Brooks,Аякс,полузащитник,100,22
Франция,Paul Wong,ПСЖ,защитник,58,2
Россия,Marc Collins,Локомотив,нападающий,28,47
Россия,Scott Ramos,Спартак,защитник,93,6
Испания,Sergio Hampton,Барселона,нападающий,127,47
Англия,Ryan Bailey,Ливерпуль,нападающий,29,31
Англия,Patricia Moreno DDS,Ливерпуль,нападающий,128,46
Португалия,Jay Taylor,Спортинг,нападающий,25,25
Германия,Ashley Nelson,РБ Лейпциг,полузащитник,62,13
Нидерланды,Benjamin Willis,Фейеноорд,нападающий,65,46
Нидерланды,Dr. Joseph Brown,Фейеноорд,защитник,104,9
Португалия,Nicholas Howell II,Порту,нападающий,23,32
Германия,Ashley Thompson,РБ Лейпциг,нападающий,127,46
Нидерланды,David Tyler,ПСВ,полузащитник,60,10
Германия,Paul Kane,РБ Лейпциг,полузащитник,39,6
Италия,Sabrina Barker,Интер,защитник,138,9
Аргентина,Angela Mendoza,Бока Хуниорс,нападающий,13,30
Бразилия,Emma Wong,Палмейрас,защитник,21,9
Россия,Brian Potter,Локомотив,нападающий,63,48
Португалия,Megan Park,Спортинг,нападающий,106,21
Италия,Yolanda Downs,Ювентус,нападающий,6,43
Бразилия,James Lee,Фламенго,защитник,107,13
Англия,Natasha Hammond,Ливерпуль,вратарь,47,-14
Италия,Lisa Clark,Ювентус,нападающий,27,18
Италия,Jennifer Briggs,Милан,полузащитник,56,28
Франция,Jessica Mcguire,ПСЖ,полузащитник,120,22
Нидерланды,Gerald Lee,Аякс,защитник,142,4
Россия,Rhonda Garner,Краснодар,защитник,49,11
