country,full_name,club,position,matches,goals
Россия,George Perkins,ЦСКА,нападающий,144,37
Бразилия,Janet Underwood,Палмейрас,нападающий,4,28
Россия,Charles Black,Локомотив,нападающий,130,27
Португалия,Elizabeth Dean,Порту,защитник,76,0
Нидерланды,Lori Avery,ПСВ,полузащитник,29,12
Португалия,Chris Smith,Спортинг,защитник,7,5
Франция,Gregory Kaiser,Лион,нападающий,97,31
Италия,Jason Ramsey,Ювентус,нападающий,19,42
Испания,Dawn Howard,Барселона,полузащитник,119,14
Франция,David Chambers,Олимпик Марсель,нападающий,131,11
Германия,Cameron Johnson,РБ Лейпциг,вратарь,43,-21
Англия,Roger Wilson,Ливерпуль,защитник,106,2
Германия,Valerie Owen,Боруссия Дортмунд,защитник,40,7
Аргентина,Desiree Barnes,Ривер Плейт,защитник,71,12
Испания,Tammy Anderson,Барселона,нападающий,87,47
Англия,Brittany Hernandez,Ливерпуль,полузащитник,87,19
Бразилия,Sean Williams,Сантос,защитник,27,8
Португалия,Nicole Brown DDS,Порту,полузащитник,99,22
Португалия,Sarah Davenport,Порту,полузащитник,95,13
Италия,Samuel Hayden,Ювентус,вратарь,55,-16
Россия,Megan Davenport,Локомотив,нападающий,124,31
Испания,John Burke,Барселона,полузащитник,54,29
Испания,Johnny Lloyd,Атлетико Мадрид,защитник,101,15
Италия,Katherine Schmidt,Интер,полузащитник,46,24
Россия,Matthew Johnson,Краснодар,нападающий,5,41
Нидерланды,Melissa Smith,ПСВ,полузащитник,138,20
Англия,Ann Sherman,Ливерпуль,вратарь,115,-43
Португалия,Jeremy Michael,Бенфика,нападающий,81,40
Россия,Marie Martinez,Зенит,защитник,119,5
Франция,David Barajas,Олимпик Марсель,защитник,75,19
Англия,Kayla Bradley,Манчестер Юнайтед,полузащитник,127,18
Бразилия,James Kirby,Палмейрас,нападающий,23,25
Россия,Brenda Collins,Краснодар,нападающий,134,48
Англия,Austin Davis,Челси,нападающий,121,37
Португалия,Jamie Cole,Бенфика,нападающий,11,22
Португалия,Mr. Brian Swanson MD,Порту,защитник,126,11
Португалия,Amber Suarez,Спортинг,полузащитник,50,20
Нидерланды,Kathryn Kennedy,ПСВ,полузащитник,83,14
Нидерланды,Kelsey Morgan,ПСВ,защитник,108,16
Германия,Donald Johnson,Боруссия Дортмунд,вратарь,111,-30
Италия,Michael Coleman,Ювентус,полузащитник,79,19
Бразилия,Angela Khan,Коринтианс,нападающий,51,17
Нидерланды,Gloria Petty,Аякс,полузащитник,53,13
Нидерланды,Jonathan Henderson,Аякс,нападающий,37,29
Италия,Jonathan Nguyen,Милан,нападающий,50,28
Россия,Diana Patterson,Краснодар,защитник,96,2
Германия,Dr. Daniel Brown II,Бавария,вратарь,38,-50
Португалия,Glenn Edwards,Спортинг,защитник,85,13
Нидерланды,Patrick Smith,ПСВ,полузащитник,121,6
Аргентина,Aaron Baker,Бока Хуниорс,полузащитник,135,13
Нидерланды,Patrick Hensley,Аякс,защитник,30,11
Россия,Mark Carroll,Краснодар,защитник,56,2
Португалия,Tammy Ramsey,Порту,защитник,61,14
Бразилия,Maria Mcgee,Коринтианс,нападающий,70,38
Бразилия,Ryan Flores,Сантос,нападающий,13,19
Англия,Sean Hart,Манчестер Юнайтед,полузащитник,5,29
Германия,Brian Beck,Бавария,вратарь,93,-35
Нидерланды,Scott Graves,ПСВ,полузащитник,18,9
Бразилия,Rebecca Miller,Коринтианс,полузащитник,23,20
Франция,Cynthia Chen,ПСЖ,нападающий,108,16
Испания,Gregory Crawford,Барселона,нападающий,38,11
Аргентина,Justin Bryant,Ривер Плейт,защитник,78,14
Германия,Melanie Stewart,Боруссия Дортмунд,нападающий,49,45
Франция,Holly Johnson,ПСЖ,нападающий,63,46
Англия,Daniel Wright,Манчестер Юнайтед,нападающий,17,27
Нидерланды,Meredith Heath,Фейеноорд,нападающий,20,15
Россия,Joseph Russell,ЦСКА,защитник,80,8
Португалия,Brian Berry,Порту,нападающий,94,46
Бразилия,William Mendoza,Фламенго,полузащитник,61,8
Англия,Maria Gallagher,Ливерпуль,нападающий,3,48
Аргентина,Kimberly Ewing,Ривер Плейт,защитник,13,8
Аргентина,Kimberly King,Бока Хуниорс,нападающий,13,14
Италия,Kevin Massey,Интер,нападающий,52,27
Португалия,Jessica Donaldson,Спортинг,полузащитник,19,10
Испания,Sarah Williams,Реал Мадрид,вратарь,86,-44
Франция,Joshua Case,Лион,нападающий,14,41
Россия,Sandra Ramirez,Зенит,полузащитник,123,27
Испания,Amber Arias,Барселона,полузащитник,130,27
Нидерланды,Jeffrey Palmer,Аякс,вратарь,27,0
Бразилия,Jill Jones,Фламенго,полузащитник,85,25
Франция,Gloria Scott,ПСЖ,защитник,41,3
Испания,Kayla Taylor,Реал Мадрид,защитник,63,5
Бразилия,Samuel King,Фламенго,нападающий,85,39
Россия,Brandon Moore,Локомотив,защитник,103,0
Россия,Daniel Johnson,Краснодар,полузащитник,13,14
Германия,Kayla Duncan,Боруссия Дортмунд,защитник,114,1
Англия,Bryan Caldwell,Манчестер Юнайтед,нападающий,1,43
Англия,Daniel Romero,Ливерпуль,полузащитник,125,25
Нидерланды,Amanda Ward,Фейеноорд,защитник,58,9
Аргентина,Peggy Marquez,Бока Хуниорс,полузащитник,74,20
Аргентина,Martha Frey,Ривер Плейт,защитник,116,1
Франция,Darren Walter,Олимпик Марсель,защитник,117,1
Аргентина,Natalie Williams,Бока Хуниорс,защитник,80,15
Англия,Mark Davis,Челси,полузащитник,145,30
Германия,April Garcia,Боруссия Дортмунд,нападающий,140,43
Аргентина,Jessica Baker,Ривер Плейт,нападающий,39,46
Нидерланды,Anne Hickman,Аякс,защитник,46,4
Испания,Steven Pruitt,Реал Мадрид,полузащитник,42,17
Италия,Mrs. Diana Mckenzie,Ювентус,защитник,119,11
Англия,Brian Pena,Челси,нападающий,18,27
Англия,Vincent Anderson,Ливерпуль,нападающий,57,33
Бразилия,Cassandra Garcia,Коринтианс,вратарь,138,-45
Россия,Terry Martin,Спартак,защитник,143,7
Испания,Dr. Jerry Reid,Атлетико Мадрид,вратарь,88,0
Португалия,Jasmine Hughes,Бенфика,полузащитник,29,30
Англия,Benjamin Beasley,Ливерпуль,нападающий,92,10
Аргентина,Audrey Hughes,Бока Хуниорс,нападающий,134,29
Франция,Alicia Gibson,Лион,полузащитник,138,19
Бразилия,Randy Cunningham,Сантос,защитник,135,1
Англия,Eric Rivera,Манчестер Юнайтед,защитник,139,15
Франция,Tyler Hayes,Лион,защитник,58,4
Франция,Jessica Barnes,Лион,защитник,17,18
Нидерланды,Amber Chen,Фейеноорд,защитник,26,19
Португалия,Joshua Elliott,Порту,защитник,112,4
Испания,Stephen Hooper,Барселона,полузащитник,71,17
Нидерланды,Robert James,Фейеноорд,нападающий,22,17
Бразилия,Jeffrey Black,Палмейрас,полузащитник,120,6
Португалия,Amanda Brennan,Бенфика,вратарь,111,-44
Аргентина,Sabrina Hawkins,Бока Хуниорс,вратарь,105,-42
Аргентина,Samantha Anderson,Ривер Плейт,полузащитник,110,27
Бразилия,Deborah Perez,Палмейрас,полузащитник,61,11
Аргентина,Ashley Glass,Ривер Плейт,защитник,19,16
Бразилия,Virginia Mcknight,Фламенго,защитник,52,1
Испания,Nicholas Murray,Атлетико Мадрид,полузащитник,139,18
Бразилия,Edwin Hodges,Фламенго,полузащитник,24,25
Испания,Brian Davis,Атлетико Мадрид,нападающий,103,27
Испания,Joseph Taylor,Атлетико Мадрид,защитник,68,16
Франция,Jeffrey Williams,Лион,нападающий,145,29
Бразилия,Theresa Cook,Сантос,полузащитник,141,17
Португалия,James Rodriguez,Бенфика,защитник,92,6
Франция,Brianna Wallace,Олимпик Марсель,защитник,53,2
Англия,Mrs. Kelly White,Челси,защитник,52,9
Италия,Brooke Molina,Ювентус,полузащитник,109,7
Аргентина,Lauren King,Бока Хуниорс,защитник,28,1
Испания,Kimberly Wallace,Барселона,нападающий,112,45
Нидерланды,Kyle Hill,ПСВ,полузащитник,37,23
Италия,Katie Chavez,Милан,полузащитник,61,24
Бразилия,Austin Larson,Палмейрас,защитник,76,1
Португалия,Anna Jenkins,Бенфика,полузащитник,27,18
Португалия,Joshua Roberts,Бенфика,защитник,21,5
Португалия,Angela Ramos,Бенфика,нападающий,45,33
Англия,Victoria Baker,Манчестер Юнайтед,полузащитник,137,18
Германия,Jonathon Montgomery,Бавария,нападающий,18,25
Англия,Anna Riggs,Челси,защитник,84,19
Нидерланды,Jennifer Miller,Аякс,защитник,63,0
Испания,Angela Oliver,Барселона,защитник,129,10
Нидерланды,Kelly Jackson,ПСВ,нападающий,45,25
Бразилия,Jeffrey Taylor,Палмейрас,нападающий,53,13
Франция,Gavin Hodges,ПСЖ,полузащитник,13,25
Италия,Fernando Stone,Интер,полузащитник,104,25
Нидерланды,Jon Anderson,Аякс,нападающий,56,19
Аргентина,Mark Kelly,Бока Хуниорс,полузащитник,105,8
Нидерланды,Joshua Armstrong,Аякс,нападающий,52,22
Аргентина,Melissa Moreno,Бока Хуниорс,нападающий,74,39
Испания,Joseph Brown,Реал Мадрид,полузащитник,40,26
Бразилия,Katherine Martin,Сантос,защитник,19,13
Россия,Donald Smith,Зенит,нападающий,60,45
Россия,Erin Ponce,Зенит,полузащитник,27,7
Англия,Ariel Villanueva,Ливерпуль,полузащитник,51,21
Россия,Nathan West,ЦСКА,нападающий,115,38
Испания,Robert Atkinson,Реал Мадрид,нападающий,4,40
Аргентина,Ashley King,Ривер Плейт,полузащитник,59,11
Германия,Julia Lewis,РБ Лейпциг,полузащитник,82,27
Германия,Robin Perry,Бавария,вратарь,52,-17
Аргентина,John Rodriguez,Ривер Плейт,нападающий,45,18
Испания,Joshua Jones,Реал Мадрид,нападающий,14,35
Нидерланды,Karen Owens,Фейеноорд,нападающий,82,34
Бразилия,Kelly Reed,Палмейрас,нападающий,94,48
Франция,Michael Baird,Олимпик Марсель,полузащитник,42,28
Нидерланды,Scott Bowman,Аякс,нападающий,114,43
Россия,Michael Fowler,Спартак,вратарь,69,-23
Португалия,James Walters,Бенфика,защитник,24,6
Россия,Sean Wagner,Спартак,защитник,63,20
Россия,Robert Shelton,Спартак,защитник,40,7
Бразилия,Luis Brooks,Фламенго,защитник,18,0
Италия,Tammy Ortega,Милан,защитник,129,10
Германия,Whitney Petersen,Бавария,полузащитник,104,24
Португалия,Matthew Walker,Порту,полузащитник,54,20
Испания,Shannon Barrett,Атлетико Мадрид,полузащитник,47,19
Англия,Alejandro Ramos,Манчестер Юнайтед,полузащитник,56,21
Россия,Robert Graves,Зенит,нападающий,5,45
Германия,Alison Hoffman,Боруссия Дортмунд,защитник,55,8
Германия,Mr. Christopher Hoffman,Бавария,полузащитник,150,18
Нидерланды,Benjamin Hamilton,ПСВ,защитник,91,3
Россия,Marissa Harrell,Локомотив,нападающий,4,18
Португалия,Stacy Brown,Порту,полузащитник,65,25
Франция,Andrew King,Олимпик Марсель,защитник,108,9
Испания,Crystal Riley,Барселона,защитник,136,7
Франция,Linda Ferguson,Лион,защитник,140,0
Испания,Larry Murray,Атлетико Мадрид,защитник,34,5
Бразилия,Catherine Vega,Коринтианс,нападающий,23,25
Португалия,Anna Griffith,Спортинг,вратарь,147,-34
Португалия,Katie Hendricks,Спортинг,нападающий,6,23
Бразилия,Kyle Patel PhD,Коринтианс,нападающий,56,43
Франция,Gregory Hernandez,ПСЖ,полузащитник,90,11
Германия,April Acosta,Боруссия Дортмунд,защитник,105,14
Нидерланды,Bianca Williamson,Аякс,защитник,17,10
Бразилия,Billy Garcia,Сантос,нападающий,141,11
Бразилия,Valerie Mcdonald,Палмейрас,защитник,144,15
Португалия,Randy Cooper,Бенфика,полузащитник,45,20
Англия,Melissa Landry,Манчестер Юнайтед,защитник,136,0
Англия,Patty Peters,Манчестер Юнайтед,вратарь,116,-32
Аргентина,Mr. Anthony Smith,Ривер Плейт,нападающий,59,37
Бразилия,Jason Gutierrez,Коринтианс,вратарь,140,-17
Англия,Misty Meyers,Ливерпуль,полузащитник,117,22
Италия,Candace Atkins,Ювентус,полузащитник,139,13
Португалия,Carly Patel,Спортинг,полузащитник,119,20
Бразилия,Rose Smith,Коринтианс,полузащитник,112,8
Аргентина,Manuel Casey,Бока Хуниорс,нападающий,52,33
Франция,Teresa Garcia,Олимпик Марсель,полузащитник,74,12
Германия,Jackie Anderson,Боруссия Дортмунд,защитник,144,15
Германия,Jose Howell,РБ Лейпциг,полузащитник,12,17
Германия,Connor Brewer,РБ Лейпциг,полузащитник,15,15
Нидерланды,Julie Jenkins,Аякс,нападающий,68,39
Италия,Robert Daniels,Милан,защитник,32,13
Нидерланды,Monique Bishop,Аякс,нападающий,71,36
Россия,Steven Lozano,Спартак,полузащитник,106,25
Франция,Evan Woods,ПСЖ,защитник,8,4
Португалия,Darlene Frye,Бенфика,нападающий,18,18
Испания,Joshua Cole,Барселона,защитник,57,18
Россия,Phillip Lambert,Краснодар,нападающий,131,22
Португалия,Christian Bentley,Порту,полузащитник,142,29
Испания,Jacqueline Rodriguez,Барселона,вратарь,62,-49
Франция,Nancy Williams,Лион,нападающий,6,41
Италия,Kaitlin Carey,Ювентус,вратарь,28,-25
Германия,Mallory Friedman,РБ Лейпциг,полузащитник,128,12
Россия,Daniel Wells,Зенит,защитник,149,1
Аргентина,Michelle Torres,Ривер Плейт,полузащитник,126,9
Франция,Jacob Grimes,Олимпик Марсель,защитник,133,6
Россия,Chase Thomas,Краснодар,нападающий,87,21
Бразилия,Jennifer Thomas,Палмейрас,полузащитник,44,13
Аргентина,Jeffery Hawkins,Ривер Плейт,защитник,138,9
