country,full_name,club,position,matches,goals
Португалия,Susan Macdonald,Спортинг,защитник,108,18
Германия,Gerald Tran,Боруссия Дортмунд,защитник,137,12
Италия,Kristen Simmons,Ювентус,вратарь,87,-44
Испания,Lauren Waters,Барселона,защитник,40,14
Германия,Kara Anderson,Боруссия Дортмунд,полузащитник,62,24
Англия,Mrs. Ashlee Shaw,Челси,полузащитник,6,15
Германия,Ashley Goodman,Боруссия Дортмунд,полузащитник,13,29
Россия,William Davis,ЦСКА,полузащитник,104,23
Португалия,Marcia Jones,Спортинг,защитник,2,13
Португалия,Lindsay Moreno,Спортинг,вратарь,136,-36
Германия,Terry Armstrong,Бавария,защитник,115,7
Нидерланды,Becky Reeves,ПСВ,полузащитник,110,29
Аргентина,Miss Monique Johnson DDS,Ривер Плейт,нападающий,19,12
Португалия,Heather Donovan,Бенфика,защитник,113,10
Бразилия,Patricia Thomas,Коринтианс,вратарь,141,-41
Германия,Alexis Salas,Боруссия Дортмунд,полузащитник,108,5
Франция,Rebecca Morris DVM,Олимпик Марсель,защитник,133,2
Италия,Chris Young,Милан,защитник,21,12
Италия,Gregory Lewis,Ювентус,вратарь,37,-28
Испания,Jennifer Gibbs,Реал Мадрид,полузащитник,90,27
Бразилия,Carla Bush,Палмейрас,защитник,29,1
Аргентина,Jesus Goodwin,Бока Хуниорс,защитник,1,8
Бразилия,Annette Davis,Коринтианс,защитник,128,17
Италия,Cassandra Warner,Ювентус,полузащитник,148,5
Англия,Cameron Jones,Ливерпуль,вратарь,32,-23
Италия,Zachary Kidd,Интер,защитник,21,0
Италия,Sandra Holmes,Интер,нападающий,1,19
Франция,Heather Savage,ПСЖ,полузащитник,56,19
Бразилия,Joseph Shields,Палмейрас,защитник,61,16
Италия,Michele Craig,Ювентус,нападающий,149,44
Италия,Angela Miller,Ювентус,полузащитник,31,21
Англия,Brad Wyatt,Челси,нападающий,143,15
Франция,Michael Wilson,Олимпик Марсель,защитник,146,18
Испания,Maria Blankenship,Барселона,защитник,56,15
Португалия,Heather Lawson,Бенфика,полузащитник,39,16
Аргентина,Ann Miller,Ривер Плейт,нападающий,10,37
Италия,Gail Reeves,Интер,вратарь,22,-34
Италия,Peter Santiago,Ювентус,полузащитник,111,22
Португалия,Jason Johnson,Порту,полузащитник,38,8
Италия,Erika Howell,Интер,защитник,129,10
Аргентина,Jeremy Shea,Бока Хуниорс,нападающий,32,39
Нидерланды,Jason Peters,Аякс,полузащитник,37,27
Германия,Sheena Rollins,Боруссия Дортмунд,нападающий,22,38
Нидерланды,Natalie Vaughn,Аякс,нападающий,112,47
Бразилия,Jessica Fox,Фламенго,защитник,60,17
Нидерланды,Kendra Brown,Фейеноорд,защитник,85,16
Нидерланды,Tyler Barber,Фейеноорд,нападающий,122,39
Франция,Monica Calderon,Лион,защитник,1,9
Бразилия,Stacy Williams,Фламенго,нападающий,65,24
Нидерланды,Kristine Molina,Фейеноорд,защитник,103,3
Аргентина,Ms. Patricia Thomas,Ривер Плейт,защитник,106,12
Аргентина,James Orozco,Ривер Плейт,защитник,21,13
Бразилия,Kelly Rodriguez,Фламенго,нападающий,44,23
Италия,Krystal Perry,Ювентус,защитник,111,14
Португалия,Barbara Goodwin,Порту,полузащитник,103,9
Португалия,Katherine Sparks,Бенфика,нападающий,127,21
Аргентина,Tammy Strong,Ривер Плейт,вратарь,116,-14
Россия,Linda Bowman,Краснодар,нападающий,13,10
Бразилия,Christopher Miller,Сантос,защитник,1,3
Португалия,Beth Sharp,Порту,полузащитник,99,15
Англия,Christine Sullivan,Челси,вратарь,46,-20
Нидерланды,Maureen Wilson,Аякс,полузащитник,126,28
Франция,Laura Walters,Олимпик Марсель,полузащитник,116,27
Франция,Duane Torres,ПСЖ,нападающий,128,49
Испания,Joshua Jackson,Атлетико Мадрид,защитник,103,19
Бразилия,Patrick Stone,Фламенго,защитник,48,6
Германия,Chase Stephens,Бавария,полузащитник,50,22
Португалия,Matthew Sullivan,Спортинг,вратарь,46,-2
Португалия,Renee Norman,Бенфика,защитник,87,11
Франция,Micheal Davis,Лион,нападающий,97,43
Нидерланды,Lauren Brown,Аякс,нападающий,143,42
Франция,April Peterson,Лион,защитник,88,12
Англия,Brooke Garcia,Манчестер Юнайтед,нападающий,54,19
Франция,Jason Barajas,Лион,нападающий,17,25
Нидерланды,Charles Chambers,ПСВ,вратарь,82,-16
Аргентина,Kristina Gonzalez,Ривер Плейт,полузащитник,128,30
Англия,Allison Stephens,Манчестер Юнайтед,нападающий,58,12
Португалия,Laura Crawford,Спортинг,полузащитник,40,6
Италия,Ricky Allen,Ювентус,защитник,32,15
Аргентина,William Parker,Ривер Плейт,полузащитник,86,21
Испания,Rebecca Carpenter,Барселона,защитник,70,17
Италия,Kimberly Martinez,Ювентус,полузащитник,118,27
Аргентина,Linda Anthony,Бока Хуниорс,полузащитник,2,12
Португалия,Christina Moreno,Порту,полузащитник,111,28
Аргентина,Gabriela Beck,Ривер Плейт,полузащитник,132,7
Англия,John Ramirez,Ливерпуль,защитник,50,18
Россия,Shannon Price,Локомотив,полузащитник,123,16
Испания,William Hill,Барселона,вратарь,83,-37
Бразилия,Patrick Harvey,Фламенго,полузащитник,33,12
Бразилия,Christopher Silva,Коринтианс,нападающий,69,16
Аргентина,Gerald Hicks,Ривер Плейт,защитник,71,20
Италия,Beth Rodriguez,Интер,нападающий,75,40
Италия,Laura Aguirre,Милан,защитник,91,13
Франция,Jacob Henry,Лион,защитник,24,14
Франция,Brenda Lee,ПСЖ,нападающий,94,25
Россия,Jennifer Page,Спартак,полузащитник,79,21
Португалия,Danny Ingram,Порту,нападающий,54,10
Италия,Leah Klein,Интер,защитник,127,14
Испания,Megan Duke,Реал Мадрид,нападающий,70,14
Португалия,Joshua Washington,Бенфика,нападающий,16,48
Бразилия,Joshua Ponce,Фламенго,нападающий,22,26
Германия,Carla Smith,РБ Лейпциг,защитник,47,5
Россия,Kenneth Rice,Зенит,нападающий,85,24
Франция,Larry Hampton,Лион,вратарь,58,-34
Португалия,Darren Martinez,Спортинг,защитник,93,17
Бразилия,Jennifer Williams,Палмейрас,полузащитник,88,11
Франция,Ryan Parker,Лион,полузащитник,142,24
Англия,Tony Clements,Манчестер Юнайтед,полузащитник,24,10
Россия,Erica Leon,ЦСКА,полузащитник,138,24
Бразилия,Michael Delgado,Коринтианс,нападающий,32,16
Англия,Caleb Taylor,Ливерпуль,защитник,66,17
Германия,Beth Lyons,РБ Лейпциг,нападающий,103,32
Германия,William Cooper,РБ Лейпциг,нападающий,52,43
Испания,Kristin Larson,Барселона,защитник,48,9
Бразилия,Felicia Hernandez,Сантос,полузащитник,47,30
Испания,Robert Roberts,Реал Мадрид,нападающий,87,11
Россия,Thomas Rose,Спартак,полузащитник,28,27
Россия,Todd Lawrence,ЦСКА,защитник,59,3
Италия,Todd Robertson,Интер,защитник,21,1
Испания,Angela Phillips,Атлетико Мадрид,нападающий,48,19
Германия,Philip Sharp,Боруссия Дортмунд,вратарь,49,-43
Бразилия,Robert Duke,Сантос,полузащитник,116,8
Франция,Ian Gonzalez,ПСЖ,защитник,128,16
Бразилия,Tina Monroe,Палмейрас,полузащитник,11,11
Франция,Vincent Dixon,ПСЖ,полузащитник,45,20
Испания,Amber Case,Реал Мадрид,полузащитник,72,19
Нидерланды,Kathleen Travis,Фейеноорд,полузащитник,49,10
Россия,Rachel Bennett,ЦСКА,полузащитник,104,16
Испания,Kelly Lopez,Атлетико Мадрид,защитник,64,0
